GASCO BELLOTO;#008000;-33.039707183838 -71.418281555176|-33.039459228516 -71.418304443359|-33.039535522461 -71.419380187988|-33.038082122803 -71.419624328613|-33.037525177002 -71.418533325195|-33.037460327148 -71.417198181152|-33.039600372314 -71.416938781738|-33.039707183838 -71.418281555176
LIPIGAS Concon.;#008000;-32.931197410958 -71.494133949134|-32.928916931152 -71.494522094727|-32.928161621094 -71.493377685547|-32.92845916748 -71.491523742676|-32.931626646426 -71.492169380334|-32.931197410958 -71.494133949134
GASCO MAIPU Calle El Milagro, 9250000 Maipú, Región Metropolitana de Santiago, República de Chile;#008000;-33.530475616455 -70.760894775391|-33.534572601318 -70.756614685059|-33.536323547363 -70.759155273438|-33.532024383545 -70.763427734375|-33.530475616455 -70.760894775391
OXIQUIM EL BATO TMQ;#008000;-32.770915985107 -71.485580444336|-32.770332336426 -71.490165710449|-32.766654968262 -71.487976074219|-32.767681121826 -71.486274719238|-32.770915985107 -71.485580444336
ABASTIBLE CONCON;#008000;-32.928932189941 -71.488876342773|-32.929332733154 -71.486854553223|-32.927032470703 -71.486351013184|-32.926635742188 -71.488014221191|-32.928932189941 -71.488876342773
GASMAR Quintero, Valparaíso, República de Chile;#008000;-32.769676208496 -71.480087280273|-32.769981384277 -71.480171203613|-32.770812988281 -71.481338500977|-32.770240783691 -71.485054016113|-32.769123077393 -71.484100341797|-32.768486022949 -71.4833984375|-32.766593933105 -71.481666564941|-32.768222808838 -71.480407714844|-32.768913269043 -71.480018615723|-32.769676208496 -71.480087280273
LIPIGAS COQUIMBO;#008000;-29.965835571289 -71.26432800293|-29.965934753418 -71.265411376953|-29.967414855957 -71.265106201172|-29.967323303223 -71.264228820801|-29.965835571289 -71.26432800293
GARITA MINA MARICUNGA;#008000;-27.56721496582 -69.267372131348|-27.567995071411 -69.268920898438|-27.568908691406 -69.268341064453|-27.56826210022 -69.26692199707|-27.56721496582 -69.267372131348
PLANTA SART MARICUNGA;#008000;-27.565902709961 -69.276405334473|-27.567768096924 -69.27709197998|-27.568128585815 -69.27604675293|-27.566207885742 -69.275337219238|-27.565902709961 -69.276405334473
CLORAMON;#008000;-33.348377227783 -70.710754394531|-33.347827911377 -70.709014892578|-33.349128723145 -70.708457946777|-33.349590301514 -70.710235595703|-33.348377227783 -70.710754394531
OXIQUIM santiago;#008000;-33.323467254639 -70.714904785156|-33.324542999268 -70.714485168457|-33.32262802124 -70.708557128906|-33.322002410889 -70.708831787109|-33.323467254639 -70.714904785156
Estacionamiento Copec,  entrada Sur de Coquimbo, Km 455, lado poniente.;#800080;-30.01146697998 -71.378356933594|-30.013084411621 -71.378135681152|-30.012691497803 -71.379585266113|-30.011989593506 -71.379600524902|-30.01146697998 -71.378356933594
COPEC LA Negra, Antofagasta;#ffff00;-23.783899307251 -70.317573547363|-23.783899307251 -70.315773010254|-23.785097122192 -70.315773010254|-23.785097122192 -70.317573547363|-23.783899307251 -70.317573547363
estacionamiento COPEC La Greda, Puchuncaví;#800080;-32.740905761719 -71.4677734375|-32.741916656494 -71.468330383301|-32.74210357666 -71.469573974609|-32.741104125977 -71.469207763672|-32.740905761719 -71.4677734375
SOLIMPEX-SERCOIN SAN BERNANDO;#008000;-33.560230255127 -70.70198059082|-33.56031036377 -70.70140838623|-33.557697296143 -70.700889587402|-33.557640075684 -70.701400756836|-33.560230255127 -70.70198059082
PORTLAND LA GRANJA;#008000;-33.542552947998 -70.623252868652|-33.544403076172 -70.623825073242|-33.544574737549 -70.622848510742|-33.544841766357 -70.621719360352|-33.542484283447 -70.622016906738|-33.542552947998 -70.623252868652
